"SA_code","SA_name","c14","c15","c16","c17","c18","c19","c20","c21","c22","c23","c24","t14","t15","t16","t17","t18","t19","t20","t21","t22","t23","t24","ct24pos","ct24all","p14","p15","p16","p17","p18","p19","p20","p21","p22","p23","p24","cpp14","cpp15","cpp16","cpp17","cpp18","cpp19","cpp20","cpp21","cpp22","cpp23","cpp24","tpp14","tpp15","tpp16","tpp17","tpp18","tpp19","tpp20","tpp21","tpp22","tpp23","tpp24","ccpp24","ctpp24","c1M","t1M","c1MPPY"
30102,"Cleveland - Stradbroke",1,4,1,1,1,1,1,3,1,2,4,3,11,4,10,7,4,2,10,6,8,8,20,73,82974,83860,85664,87370,89389,91347,93047,94836,96702,98926,101572,1.20519680863885,4.76985451943716,1.16735151288756,1.14455762847659,1.11870588103682,1.09472670147898,1.07472567627113,3.16335568771353,1.03410477549585,2.02171319976548,3.93809317528453,3.61559042591655,13.1170999284522,4.66940605155024,11.4455762847659,7.83094116725772,4.3789068059159,2.14945135254226,10.5445189590451,6.20462865297512,8.08685279906193,7.87618635056906,19.6904658764226,71.8702004489426,196.904658764226,718.702004489426,19.8869031816062
30103,"Wynnum - Manly",2,0,2,0,0,1,0,0,0,2,1,4,2,5,4,1,4,3,9,3,4,10,8,49,70653,71045,71439,72058,72520,73264,74031,74093,74593,75566,76920,2.83073613293137,0,2.79959125967609,0,0,1.36492683992138,0,0,0,2.64669295715004,1.30005200208008,5.66147226586274,2.81511717925259,6.99897814919022,5.55108384912154,1.37892995035852,5.45970735968552,4.05235644527293,12.1468964679524,4.0218251042323,5.29338591430008,13.0005200208008,10.4004160166407,63.7025481019241,104.004160166407,637.025481019241,9.92331756352784
30201,"Bald Hills - Everton Park",2,0,0,0,0,0,0,0,0,0,0,4,1,2,2,2,7,4,4,4,1,1,2,32,41598,42049,42530,43295,44095,45149,46057,46713,47712,48851,49958,4.80792345785855,0,0,0,0,0,0,0,0,0,0,9.6158469157171,2.37817784013889,4.70256289677874,4.61947107056242,4.53566163964168,15.5042193625551,8.68489046181905,8.5629268083831,8.38363514419853,2.04704100223127,2.0016814123864,4.00336282477281,64.053805196365,40.0336282477281,640.53805196365,4.01600780711918
30202,"Chermside",1,0,1,0,0,0,0,0,0,0,1,2,1,1,3,2,2,3,1,1,2,3,3,21,70589,71139,71757,72759,73745,74587,75318,75363,76171,77531,79106,1.4166513196107,0,1.39359226277576,0,0,0,0,0,0,0,1.26412661492175,2.83330263922141,1.4056987025401,1.39359226277576,4.12320125345318,2.71204827445929,2.6814324211994,3.98311160678722,1.32691108368828,1.31283559359861,2.57961331596394,3.79237984476525,3.79237984476525,26.5466589133568,37.9237984476525,265.466589133568,3.66719025994267
30203,"Nundah",0,0,0,0,0,0,1,0,0,0,0,1,NA,NA,2,NA,2,2,1,NA,1,2,1,11,38769,39511,40433,41158,41846,42732,43261,43628,44468,45561,46663,0,0,0,0,0,0,2.31155081944477,0,0,0,0,2.57938043282004,NA,NA,4.85932261042811,NA,4.68033323972667,4.62310163888953,2.29210598698084,NA,2.1948596387261,4.28605104686797,2.14302552343398,23.5732807577738,21.4302552343398,235.732807577738,2.13661517424097
30204,"Sandgate",1,0,3,0,0,0,0,0,0,0,0,2,4,4,4,3,8,5,3,NA,1,3,4,37,57994,59013,60045,60989,61620,62094,62264,62078,62468,63680,64927,1.72431630858365,0,4.99625281039221,0,0,0,0,0,0,0,0,3.44863261716729,6.77816752241032,6.66167041385627,6.55855974028103,4.86854917234664,12.8836924662608,8.03032249775151,4.83262991720094,NA,1.57035175879397,4.62057387527531,6.16076516703375,56.9870777950621,61.6076516703375,569.870777950621,5.90691877395994
30301,"Carindale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,3,50872,51626,52426,53216,53837,54419,54944,55098,55656,57003,58034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.81494791099495,NA,NA,3.44625564324362,NA,5.16938346486542,NA,51.6938346486542,0
30302,"Holland Park - Yeronga",1,1,2,0,0,0,2,0,0,2,0,7,7,3,4,6,2,4,2,3,3,6,8,47,72537,73413,74656,76618,78120,79675,80852,80735,81962,84039,85824,1.37860677998814,1.36215656627573,2.67895413630519,0,0,0,2.47365556819868,0,0,2.37984745177834,0,9.65024745991701,9.53509596393009,4.01843120445778,5.22070531728837,7.68049155145929,2.51019767806715,4.94731113639737,2.47724035424537,3.6602327908055,3.56977117766751,6.9910514541387,9.3214019388516,54.7632363907532,93.214019388516,547.632363907532,9.21201569266873
30303,"Mt Gravatt",0,1,1,0,0,0,0,0,2,0,1,NA,3,2,2,1,NA,2,NA,5,1,3,5,19,71973,72951,74455,76085,77550,78934,80396,80648,82028,84397,86540,0,1.37078312840126,1.3430931435095,0,0,0,0,0,2.43819183693373,0,1.15553501271089,NA,4.11234938520377,2.686186287019,2.62863902214628,1.28949065119278,NA,2.4876859545251,NA,6.09547959233432,1.18487623967677,3.46660503813266,5.77767506355443,21.9551652415068,57.7767506355443,219.551652415068,5.77395875314825
30304,"Nathan",2,2,1,0,1,1,1,0,0,1,0,4,4,2,5,8,3,6,3,3,6,3,9,47,39770,40149,40581,40703,40760,40945,40894,40480,40852,42104,43252,5.02891626854413,4.98144412065058,2.46420738769375,0,2.45338567222767,2.44230064720967,2.44534650559984,0,0,2.37507125213756,0,10.0578325370883,9.96288824130115,4.9284147753875,12.2841068225929,19.6270853778214,7.32690194162901,14.6720790335991,7.41106719367589,7.34358170958582,14.2504275128254,6.93609544067326,20.8082863220198,108.665495237214,208.082863220198,1086.65495237214,19.9782459100091
