"measure","cum_denom","cum_event"
"α-Gal sensitised individuals (denominator: population)",0.935310750948634,1
"α-Gal sensitised individuals (denominator: population)",0.937082740575438,1
"α-Gal sensitised individuals (denominator: population)",0.942874363075924,1
"α-Gal sensitised individuals (denominator: population)",0.951120837055246,1
"α-Gal sensitised individuals (denominator: population)",0.954755391089341,1
"α-Gal sensitised individuals (denominator: population)",0.957811901681096,1
"α-Gal sensitised individuals (denominator: population)",0.961829693296361,1
"α-Gal sensitised individuals (denominator: population)",0.966921234034884,1
"α-Gal sensitised individuals (denominator: population)",0.968160220787279,1
"α-Gal sensitised individuals (denominator: population)",0.969943920961745,1
"α-Gal sensitised individuals (denominator: population)",0.974498916835596,1
"α-Gal sensitised individuals (denominator: population)",0.976105913853954,1
"α-Gal sensitised individuals (denominator: population)",0.977887426858442,1
"α-Gal sensitised individuals (denominator: population)",0.98017495803228,1
"α-Gal sensitised individuals (denominator: population)",0.980981040068435,1
"α-Gal sensitised individuals (denominator: population)",0.982485441879536,1
"α-Gal sensitised individuals (denominator: population)",0.983549566734239,1
"α-Gal sensitised individuals (denominator: population)",0.984880472277667,1
"α-Gal sensitised individuals (denominator: population)",0.985534760393403,1
"α-Gal sensitised individuals (denominator: population)",0.985929402246373,1
"α-Gal sensitised individuals (denominator: population)",0.987540766398197,1
"α-Gal sensitised individuals (denominator: population)",0.989785350489701,1
"α-Gal sensitised individuals (denominator: population)",0.990527590223248,1
"α-Gal sensitised individuals (denominator: population)",0.991473492595244,1
"α-Gal sensitised individuals (denominator: population)",0.991954190758927,1
"α-Gal sensitised individuals (denominator: population)",0.993935049713833,1
"α-Gal sensitised individuals (denominator: population)",0.994646842023458,1
"α-Gal sensitised individuals (denominator: population)",0.995775623514238,1
"α-Gal sensitised individuals (denominator: population)",0.997281855774019,1
"α-Gal sensitised individuals (denominator: population)",0.997997600843886,1
"α-Gal sensitised individuals (denominator: population)",0.998579474536124,1
"α-Gal sensitised individuals (denominator: population)",0.99952948100467,1
"α-Gal sensitised individuals (denominator: population)",0.999865811536773,1
"α-Gal sensitised individuals (denominator: population)",0.999889863200049,1
"α-Gal sensitised individuals (denominator: population)",0.999962962240179,1
"α-Gal sensitised individuals (denominator: population)",0.999986152727795,1
"α-Gal sensitised individuals (denominator: population)",1,1
"Persons tested (denominator: population)",0,0
"Persons tested (denominator: population)",0.00251815689787434,0.0675365643819903
"Persons tested (denominator: population)",0.00611822066667074,0.118870088901635
"Persons tested (denominator: population)",0.00896072730557839,0.159305993690852
"Persons tested (denominator: population)",0.0112063130993134,0.190134786349297
"Persons tested (denominator: population)",0.0174732721342755,0.272082018927445
"Persons tested (denominator: population)",0.0182594102069508,0.282190995124749
"Persons tested (denominator: population)",0.0216359538517079,0.324706051046745
"Persons tested (denominator: population)",0.0265871085448573,0.366217378835675
"Persons tested (denominator: population)",0.0307636231215129,0.392744479495268
"Persons tested (denominator: population)",0.0341892573820698,0.413607685689705
"Persons tested (denominator: population)",0.0361935950842277,0.42486377975337
"Persons tested (denominator: population)",0.0391491463421524,0.440995124749068
"Persons tested (denominator: population)",0.0409120125515163,0.450602236879839
"Persons tested (denominator: population)",0.0418559583612417,0.455692572411815
"Persons tested (denominator: population)",0.0429534456654226,0.461284772010324
"Persons tested (denominator: population)",0.0446444991932766,0.468239174075136
"Persons tested (denominator: population)",0.0516633906920042,0.496630341267565
"Persons tested (denominator: population)",0.0549168474727182,0.509678806997419
"Persons tested (denominator: population)",0.0588226970620693,0.524447949526814
"Persons tested (denominator: population)",0.061480595024385,0.533839977057643
"Persons tested (denominator: population)",0.0633905961578219,0.540507599655865
"Persons tested (denominator: population)",0.0655357558980516,0.547533696587324
"Persons tested (denominator: population)",0.0657774724115351,0.548322340120447
"Persons tested (denominator: population)",0.066355811320002,0.550186406653284
"Persons tested (denominator: population)",0.0677897444601399,0.554631488385432
"Persons tested (denominator: population)",0.0678137961234152,0.554703183252079
"Persons tested (denominator: population)",0.0694625943920587,0.559506739317465
"Persons tested (denominator: population)",0.0741742377579304,0.572698594780614
"Persons tested (denominator: population)",0.0757571542870492,0.577071981646114
"Persons tested (denominator: population)",0.0775255586846459,0.5818755377115
"Persons tested (denominator: population)",0.0781134570032505,0.583381129911098
"Persons tested (denominator: population)",0.0799871049934986,0.587682821909951
"Persons tested (denominator: population)",0.0831013395771139,0.594565529108116
"Persons tested (denominator: population)",0.0854045736945557,0.599154000573559
"Persons tested (denominator: population)",0.0887429769863885,0.605678233438486
"Persons tested (denominator: population)",0.0908329926584883,0.609693145970749
"Persons tested (denominator: population)",0.0974389918661202,0.622311442500717
"Persons tested (denominator: population)",0.103239791832728,0.633065672497849
"Persons tested (denominator: population)",0.105325487213552,0.636722110696874
"Persons tested (denominator: population)",0.106666625974015,0.639016346429596
"Persons tested (denominator: population)",0.10828985200981,0.641740751362202
"Persons tested (denominator: population)",0.110524433491988,0.645253799827932
"Persons tested (denominator: population)",0.111232536078288,0.646329222827645
"Persons tested (denominator: population)",0.115030216239695,0.651778032692859
"Persons tested (denominator: population)",0.118629116160216,0.656940063091483
"Persons tested (denominator: population)",0.121507792176795,0.660954975623745
"Persons tested (denominator: population)",0.124026788630856,0.664468024089475
"Persons tested (denominator: population)",0.125446564619681,0.666403785488959
"Persons tested (denominator: population)",0.130721762778002,0.673501577287066
"Persons tested (denominator: population)",0.131207415404157,0.674146831086894
"Persons tested (denominator: population)",0.132927867811511,0.676369371952968
"Persons tested (denominator: population)",0.134712486813563,0.67866360768569
"Persons tested (denominator: population)",0.138336223904864,0.683252079151133
"Persons tested (denominator: population)",0.140124057001844,0.685474620017207
"Persons tested (denominator: population)",0.14191849845095,0.687697160883281
"Persons tested (denominator: population)",0.14381488291989,0.689991396616002
"Persons tested (denominator: population)",0.148032719515189,0.695010037281331
"Persons tested (denominator: population)",0.148949197784967,0.696085460281044
"Persons tested (denominator: population)",0.15024422941685,0.697591052480642
"Persons tested (denominator: population)",0.153213584708034,0.701032406079725
"Persons tested (denominator: population)",0.156554928248141,0.704903928878692
"Persons tested (denominator: population)",0.157553456019709,0.706051046745053
"Persons tested (denominator: population)",0.159063493306669,0.707771723544594
"Persons tested (denominator: population)",0.162841445699322,0.7120017206768
"Persons tested (denominator: population)",0.165560908713132,0.714941210209349
"Persons tested (denominator: population)",0.167899256457333,0.717450530542013
"Persons tested (denominator: population)",0.171414647561664,0.721178663607686
"Persons tested (denominator: population)",0.172904690439708,0.722755950673932
"Persons tested (denominator: population)",0.175344707357089,0.725336965873243
"Persons tested (denominator: population)",0.184452447076396,0.734944078004015
"Persons tested (denominator: population)",0.188355017712402,0.739030685402925
"Persons tested (denominator: population)",0.19125988932329,0.742041869802122
